dp,dpnom,dpmp,mpio,2018
68,Santander,68867,Vetas,2464
68,Santander,68872,Villanueva,5548
68,Santander,68895,Zapatoca,8803
70,Sucre,70001,Sincelejo,286749
70,Sucre,70110,Buenavista,9746
70,Sucre,70124,Caimito,12419
70,Sucre,70204,Coloso,5731
70,Sucre,70215,Corozal,63657
70,Sucre,70221,Coveñas,14288
70,Sucre,70230,Chalán,4401
70,Sucre,70233,El Roble,10917
70,Sucre,70235,Galeras,21199
70,Sucre,70265,Guaranda,18124
70,Sucre,70400,La Unión,11454
70,Sucre,70418,Los Palmitos,19224
70,Sucre,70429,Majagual,33811
70,Sucre,70473,Morroa,14937
70,Sucre,70508,Ovejas,20906
70,Sucre,70523,Palmito,14499
70,Sucre,70670,Sampués,38339
70,Sucre,70678,San Benito Abad,26298
70,Sucre,70702,San Juan de Betulia,12583
70,Sucre,70708,San Marcos,59237
70,Sucre,70713,San Onofre,51536
70,Sucre,70717,San Pedro,15925
70,Sucre,70742,San Luis de Sincé,34681
70,Sucre,70771,Sucre,22450
70,Sucre,70820,Santiago de Tolú,35054
70,Sucre,70823,Tolú Viejo,18892
73,Tolima,73001,Ibagué,569336
73,Tolima,73024,Alpujarra,4948
73,Tolima,73026,Alvarado,8777
73,Tolima,73030,Ambalema,6594
73,Tolima,73043,Anzoátegui,19059
73,Tolima,73055,Armero,11609
73,Tolima,73067,Ataco,22752
73,Tolima,73124,Cajamarca,19611
73,Tolima,73148,Carmen de Apicalá,8916
73,Tolima,73152,Casabianca,6603
73,Tolima,73168,Chaparral,47344
73,Tolima,73200,Coello,9963
73,Tolima,73217,Coyaima,28412
73,Tolima,73226,Cunday,9459
73,Tolima,73236,Dolores,7826
73,Tolima,73268,Espinal,75949
73,Tolima,73270,Falan,9196
73,Tolima,73275,Flandes,29377
73,Tolima,73283,Fresno,29917
73,Tolima,73319,Guamo,31605
73,Tolima,73347,Herveo,7795
73,Tolima,73349,Honda,24077
73,Tolima,73352,Icononzo,10705
73,Tolima,73408,Lérida,17013
73,Tolima,73411,Líbano,39866
73,Tolima,73443,Mariquita,33358
73,Tolima,73449,Melgar,36930
73,Tolima,73461,Murillo,5001
73,Tolima,73483,Natagaima,22390
73,Tolima,73504,Ortega,32256
73,Tolima,73520,Palocabildo,9090
73,Tolima,73547,Piedras,5683
73,Tolima,73555,Planadas,30066
73,Tolima,73563,Prado,7513
73,Tolima,73585,Purificación,29665
73,Tolima,73616,Rioblanco,24244
73,Tolima,73622,Roncesvalles,6352
73,Tolima,73624,Rovira,20349
73,Tolima,73671,Saldaña,14255
73,Tolima,73675,San Antonio,14138
73,Tolima,73678,San Luis,19130
73,Tolima,73686,Santa Isabel,6319
73,Tolima,73770,Suárez,4547
73,Tolima,73854,Valle de San Juan,6405
73,Tolima,73861,Venadillo,19764
73,Tolima,73870,Villahermosa,10531
73,Tolima,73873,Villarrica,5252
76,Valle del Cauca,76001,Cali,2445405
76,Valle del Cauca,76020,Alcalá,22710
76,Valle del Cauca,76036,Andalucía,17738
76,Valle del Cauca,76041,Ansermanuevo,19252
76,Valle del Cauca,76054,Argelia,6364
76,Valle del Cauca,76100,Bolívar,12961
76,Valle del Cauca,76109,Buenaventura,424047
76,Valle del Cauca,76111,Guadalajara de Buga,114562
76,Valle del Cauca,76113,Bugalagrande,21017
76,Valle del Cauca,76122,Caicedonia,29526
76,Valle del Cauca,76126,Calima,15848
76,Valle del Cauca,76130,Candelaria,85352
76,Valle del Cauca,76147,Cartago,134308
76,Valle del Cauca,76233,Dagua,36775
76,Valle del Cauca,76243,El Águila,11209
76,Valle del Cauca,76246,El Cairo,10184
76,Valle del Cauca,76248,El Cerrito,58296
76,Valle del Cauca,76250,El Dovio,8236
76,Valle del Cauca,76275,Florida,58775
76,Valle del Cauca,76306,Ginebra,21624
76,Valle del Cauca,76318,Guacarí,35377
76,Valle del Cauca,76364,Jamundí,127228
76,Valle del Cauca,76377,La Cumbre,11672
76,Valle del Cauca,76400,La Unión,39671
76,Valle del Cauca,76403,La Victoria,12994
76,Valle del Cauca,76497,Obando,15229
76,Valle del Cauca,76520,Palmira,310594
76,Valle del Cauca,76563,Pradera,57257
76,Valle del Cauca,76606,Restrepo,16365
76,Valle del Cauca,76616,Riofrío,14029
76,Valle del Cauca,76622,Roldanillo,32226
76,Valle del Cauca,76670,San Pedro,18882
76,Valle del Cauca,76736,Sevilla,44311
76,Valle del Cauca,76823,Toro,16598
76,Valle del Cauca,76828,Trujillo,17919
76,Valle del Cauca,76834,Tuluá,219148
76,Valle del Cauca,76845,Ulloa,5336
76,Valle del Cauca,76863,Versalles,6926
76,Valle del Cauca,76869,Vijes,11409
76,Valle del Cauca,76890,Yotoco,16491
76,Valle del Cauca,76892,Yumbo,125663
76,Valle del Cauca,76895,Zarzal,46599
81,Arauca,81001,Arauca,92107
81,Arauca,81065,Arauquita,42580
81,Arauca,81220,Cravo Norte,3226
81,Arauca,81300,Fortul,26454
81,Arauca,81591,Puerto Rondón,3825
81,Arauca,81736,Saravena,48318
81,Arauca,81794,Tame,54198
85,Casanare,85001,Yopal,149426
85,Casanare,85010,Aguazul,41994
85,Casanare,85015,Chameza,2603
85,Casanare,85125,Hato Corozal,12794
85,Casanare,85136,La Salina,1465
85,Casanare,85139,Maní,11123
85,Casanare,85162,Monterrey,15399
85,Casanare,85225,Nunchía,8928
85,Casanare,85230,Orocué,8424
85,Casanare,85250,Paz de Ariporo,26357
85,Casanare,85263,Pore,7909
85,Casanare,85279,Recetor,4528
85,Casanare,85300,Sabanalarga,2856
85,Casanare,85315,Sácama,2085
85,Casanare,85325,San Luis de Palenque,7905
85,Casanare,85400,Támara,7029
85,Casanare,85410,Tauramena,24066
85,Casanare,85430,Trinidad,15840
85,Casanare,85440,Villanueva,24518
86,Putumayo,86001,Mocoa,44631
86,Putumayo,86219,Colón,5651
86,Putumayo,86320,Orito,56365
86,Putumayo,86568,Puerto Asís,62232
86,Putumayo,86569,Puerto Caicedo,14729
86,Putumayo,86571,Puerto Guzmán,24169
86,Putumayo,86573,Leguízamo,15380
86,Putumayo,86749,Sibundoy,14396
86,Putumayo,86755,San Francisco,7190
86,Putumayo,86757,San Miguel,28329
86,Putumayo,86760,Santiago,10776
86,Putumayo,86865,Valle del Guamuez,53649
86,Putumayo,86885,Villagarzón,21399
88,Archipiélago de San Andrés,88001,San Andrés,73221
88,Archipiélago de San Andrés,88564,Providencia,5192
91,Amazonas,91001,Leticia,42280
91,Amazonas,91263,El Encanto (ANM),4972
91,Amazonas,91405,La Chorrera (ANM),4044
91,Amazonas,91407,La Pedrera (ANM),5417
91,Amazonas,91430,La Victoria (ANM),1140
91,Amazonas,91460,Miriti - Paraná (ANM),1515
91,Amazonas,91530,Puerto Alegría (ANM),2196
91,Amazonas,91536,Puerto Arica (ANM),1320
91,Amazonas,91540,Puerto Nariño,8519
91,Amazonas,91669,Puerto Santander (ANM),3113
91,Amazonas,91798,Tarapacá (ANM),4314
94,Guainía,94001,Inírida,20312
94,Guainía,94343,Barranco Minas (ANM),4984
94,Guainía,94663,Mapiripana (ANM),2759
94,Guainía,94883,San Felipe (ANM),2306
94,Guainía,94884,Puerto Colombia (ANM),5031
94,Guainía,94885,La Guadalupe (ANM),410
94,Guainía,94886,Cacahual (ANM),2812
94,Guainía,94887,Pana Pana (ANM),3467
94,Guainía,94888,Morichal (ANM),1365
95,Guaviare,95001,San José del Guaviare,67767
95,Guaviare,95015,Calamar,8456
95,Guaviare,95025,El Retorno,24155
95,Guaviare,95200,Miraflores,15451
97,Vaupés,97001,Mitú,32457
97,Vaupés,97161,Caruru,3340
97,Vaupés,97511,Pacoa (ANM),6121
97,Vaupés,97666,Taraira,952
97,Vaupés,97777,Papunaua (ANM),832
97,Vaupés,97889,Yavaraté (ANM),1226
99,Vichada,99001,Puerto Carreño,16504
99,Vichada,99524,La Primavera,17026
99,Vichada,99624,Santa Rosalía,4197
99,Vichada,99773,Cumaribo,39549
